site;plot;number;bloc;subplot central;long;lat
DUSHESNAY;0022-2009-205-0002-A;2;bloc I;26;-71.67639;46.93239
DUSHESNAY;0022-2009-205-0003-A;3;bloc I;11;-71.674761;46.931518
DUSHESNAY;0022-2009-205-0005-A;5;bloc I;10 a la place de 11;-71.674018;46.930529
DUSHESNAY;0022-2009-205-0006-A;6;bloc III;8;-71.667481;46.94565
DUSHESNAY;0022-2009-205-0006-A;6;bloc III;29;-71.667482;46.94566
DUSHESNAY;0022-2009-205-0009-A;9;bloc III;11;-71.66599;46.944863
DUSHESNAY;0022-2009-205-0010-A;10;bloc III;29;-71.667071;46.944143
DUSHESNAY;0022-2009-205-0011-A;11;bloc IV;26;-71.660378;46.940413
DUSHESNAY;0022-2009-205-0012-A;12;bloc IV;26;-71.664465;46.941896
DUSHESNAY;0022-2009-205-0014-A;14;bloc IV;26;-71.663078;46.9411
DUSHESNAY;0022-2009-205-0015-A;15;bloc IV;26;-71.661439;46.941227
DUSHESNAY;0022-2009-205-0017-A;17;bloc II;26;-71.673034;46.939963
DUSHESNAY;0022-2009-205-0018-A;18;bloc II;3 a la place de 11;-71.671585;46.940728
DUSHESNAY;0022-2009-205-0019-A;19;bloc II;8;-71.673279;46.941048
DUSHESNAY;0022-2009-205-0020-A;20;bloc II;29;-71.668764;46.939827
